ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group,Q12_23_Group
984509,5/16/2011 14:17,5/16/2011 14:30,1,1,100,1,1,1,1,1,1,1,1,0,2,1,1,1,2,0,2,1,0,2,1,2,1,2,0,1,1,0,2,1,2,1
493728,5/16/2011 14:21,5/16/2011 14:30,1,1,100,1,1,NA,1,NA,1,1,NA,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0
1605287,5/16/2011 14:23,5/16/2011 14:31,1,1,100,1,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2
1233599,5/16/2011 14:22,5/16/2011 14:31,1,1,100,1,NA,NA,NA,NA,NA,1,NA,1,2,2,0,2,2,2,2,2,0,2,2,1,2,0,1,0,0,0,2,1,2,0
1528803,5/16/2011 14:23,5/16/2011 14:31,1,1,92,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,2,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
379982,5/16/2011 14:21,5/16/2011 14:31,1,1,100,1,1,1,NA,NA,1,NA,NA,2,1,0,0,2,2,2,2,2,2,2,2,1,2,0,2,0,0,0,0,2,2,1
1281595,5/16/2011 14:10,5/16/2011 14:31,1,1,90,NA,1,1,NA,NA,1,1,NA,0,2,0,0,2,2,1,1,2,0,2,1,0,2,0,1,0,1,1,1,0,2,2
1268699,5/16/2011 14:21,5/16/2011 14:31,1,1,69,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,2,2,2,1,1,1,NA,2,1,NA,NA,NA,0,1,0,0,2
830274,5/16/2011 14:21,5/16/2011 14:33,1,1,81,1,1,1,NA,1,NA,1,NA,1,2,1,1,2,2,2,2,1,2,2,1,2,2,1,0,2,2,1,2,1,2,1
627526,5/16/2011 14:19,5/16/2011 14:34,1,1,100,1,1,1,1,1,1,1,1,1,1,2,0,2,2,1,1,2,2,1,1,1,2,1,2,1,0,0,1,1,1,2
1249246,5/16/2011 14:11,5/16/2011 14:34,1,1,100,1,1,1,NA,1,1,1,1,2,0,1,0,2,2,2,2,2,1,1,2,0,1,0,1,0,0,0,0,1,0,2
1211396,5/16/2011 14:12,5/16/2011 14:35,1,1,100,1,NA,1,NA,1,1,1,1,2,0,2,0,1,2,2,2,2,2,1,0,0,2,2,1,0,0,1,0,2,1,2
